KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
noculturegroup;Unknown;Inconnue;Unbekannte;Nieznany;Desconocida;Sconosciuta;Ismeretlen;Neznámı;Ismeretlen;Onbekend;Desconhecida;Íåèçâåñòíàÿ;Tuntematon;x
noculture;Unknown;Inconnue;Unbekannte;Nieznany;Desconocida;Sconosciuta;Ismeretlen;Neznámı;Ismeretlen;Onbekend;Desconhecida;Íåèçâåñòíàÿ;Tuntematon;x
adelphic;Adelphic;Adelphique;Adelphisch;Adelfska;Adelfica;Adelfica;Adelphic;Adelphic;Adelphic;Adelphic;Adélfica;Àäåëôñêàÿ;Adelphic;x
afer;Afer;Afre;Afr;Aferska;Afra;Affero;Afer;Afer;Afer;Aferijns;Afra;Àôğñêàÿ;Afera;x
africaine;Africaine;Franco-Africaine;Afrikänisch;Afrikêska;Afriquena;Africaine;Africaine;Africaine;Africaine;Africaine;Africaine;Àôğèêåíüñêàÿ;Africaine;x
africano;Africano;Italo-Africaine;Afrikano;Afrikanoska;Italo-Africana;Africano;Africano;Africano;Africano;Africano;Africana-Italiana;Àôğèêàíî;Africano;x
afro_carpathian;Afro-Carpathian;Afro-Carpate;Afrokarpatisch;Afrokarpacka;Afro-Cárpata;Afro-carpatico;Afro-Kárpátok;Afro-karpatské;Afro-Kárpátok;Afro-Karpaten;Afro-Cárpata;Àôğîêàğïàòñêàÿ;Afro-Carpathian;x
afro_greek;Afro-Greek;Afro-Grecque;Afrogriechisch;Afrogrecka;Afro-Griega;Afro-bizantino;Afro-bizánci;Afro-byzantské;Afro-bizánci;Afro-Byzantijnse;Afro-Grega;Àôğîãğå÷åñêàÿ;Afro-Bysantin;x
afro_italian;Afro-Italian;Afro-Italienne;Afroitalienisch;Afrow³oska;Afro-Italiana;Afro-italiano;Afro-olasz;Afro-italština;Afro-olasz;Afro-Italiaanse;Afro-Italiana;Àôğîèòàëüÿíñêàÿ;Afro-italialainen;x
afro_norse;Afro-Norse;Afro-Norroise;Afronordisch;Afronorweska;Afro-Nórdica;Afro-germanico;Afro-germán;Afro-germánski;Afro-germán;Afro-Germaans;Afro-Nórdica;Àôğîñêàíäèíàâñêàÿ;Afro-saksalainen;x
afro_slavic;Afro-Slavic;Afro-Slave;Afroslawisch;Afros³owiañska;Afro-Eslava;Afro-slavo;Afro-szláv;Afro-slovanské;Afro-szláv;Afro-Slavische;Afro-Eslava;Àôğîñëîâåíñêàÿ;Afro-slaavilainen;x
alan;Alan;Alaine;Alanisch;Alañska;Alana;Alano;Alan;Alan;Alan;Alan;Alana;Àëàíñêàÿ;Alan;x
alaskan;Alaskan;Alaskienne;Alaskisch;Alaskijska;Alasqueña;Alascana;Alaszkai;Aljašskı;Alaszkai;Alaska;Alasquiana;Àëÿñêèíñêàÿ;Alaskan;x
alexandrine;Alexandrine;Alexandrine;Alexandriner;Aleksandryjska;Alejandrina;Alessandrino;Alexandriai;Alexandrine;Alexandriai;Alexandrijn;Alexandrina;Àëåêñàíäğèéñêàÿ;Aleksandriini;x
algonquish;Algonquish;Algonquiaise;Algonkinisch;Algonkiñska;Algonqueña;Algonchiese;Algonquish;Algonquish;Algonquish;Algonquish;Algonquinesa;Àëãîíêèíñêàÿ;Algonquish;x
alien;Extraterrestrial;Extraterrestre;Außerirdisch;Obca;Alienígena;alieno;idegen;Mimozemski;idegen;vreemdeling;Alienígena;Èíîïëàíåòíàÿ;ulkomaalainen;x
all_italian;Neo-Italian;Néo-Italienne;Neu-Italienisch;Neo-W³oska;Neo-Italiana;Neo-Italiano;Neo-Olasz;Neo-Italski;Neo-Olasz;Neo-Italiaanse;Neo-Italiana;Íîâîèòàëüÿíñêàÿ;Neo-Italialainen;x
alpine;Alpine;Alpine;Alpin;Alpejska;Alpina;Alpina;Alpesi;Vysokohorski;Alpesi;Alpine;Alpestre;Àëïñêàÿ;Alppien;x
americano;Americano;Latino-Américaine;Amerikano;Amerikanoska;Latina-Americana;Americano;Americano;Americano;Americano;Americano;Americana;Àìåğèêàíî;Americano;x
amerikaner;Amerikaner;Americaneuse;Deitsch-Amerikanisch;Amerikanerska;Amerikaner;Amerikaner;Amerikaner;Amerikaner;Amerikaner;Amerikaner;Amerikaner;Àìåğèêàíåğ;Amerikaner;x
anatolian;Anatolian;Anatolienne;Anatolisch;Anatolijska;Anatolia;Anatolica;Anatóliai;Anatolian;Anatóliai;Anatolisch;Anatólia;Àíàòîëèéñêàÿ;Anatolian;x
andalucian;Andalucian;Andalouse;Andalusisch;Andaluzyjska;Andaluza;Andaluso;Andalúz;Andaluski;Andalúz;Andalusische;Andaluza;Àíäàëóçñêàÿ;Andalusian;x
anglo_african;Anglo-African;Anglo-Africaine;Angloafrikanisch;Angloafrikañska;Anglo-Africana;Anglo-Africano;Anglo-Afrikai;Anglo-Afrièan;Anglo-Afrikai;Anglo-Afrikaanse;Anglo-Africana;Àíãëîàôğèêàíñêàÿ;Anglo-Afrikkalainen;x
anglo_saxon;Anglo-Saxon;Anglo-Saxonne;Angelsächsisch;Anglosaksa;Anglosajona;Anglosassone;Angolszász;Anglosaski;Angolszász;Angelsaksisch;Anglo-Saxã;Àíãëîñàêñîíñêàÿ;Anglosaksit;x
antartique;Antarctique;Antarctique;Antarktik;Antartikska;Antarctique;Antarctica;Antarctique;Antartique;Antarctique;Antarctique;Antarctique;Àíòàğòèêñêàÿ;Antarctique;x
anti_human;Non-Human;Fléau de l'Humanité;Fluch der Menschheit;Zmora Ludzkoœci;Perdición de la Humanidad;Non umano;Nem emberi;Non-Human;Nem emberi;Niet menselijk;Maldição da Humanidade;Áè÷ ×åëîâå÷åñòâà;Ei ihminen;x
antivuorean;Antivuorean;Antivuoréenne;Antiwuoreer;Antiwuoreañska;Antivuorea;Antivuorea;Antivuoreai;Antivuorean;Antivuoreai;Antivuoreaans;Antivuoreã;Àíòèâîğåéñêàÿ;Antivuorealaiset;x
araucanian;Araucanian;Araucanienne;Araukanisch;Araukañska;Araucania;Araucanese;Araukán;Araucanian;Araukán;Araucanian;Araucana;Àğàâêàíüñêàÿ;Araukaani;x
aravacian;Aravacian;Aravacienne;Aravazisch;Arawacka;Aravacia;Aravacese;Aravacian;Aravacian;Aravacian;Aravacian;Aravaquesa;Àğàâàöñêàÿ;Aravacian;x
arcansian;Arcansian;Arcansienne;Arkansit;Arkansaska;Arcansia;Arcansiese;Arcansian;Arcansian;Arcansian;Arcansian;Arcansesa;Àğêàíñüñêàÿ;Arcansian;x
aromanian;Aromanian;Aroumaine;Aromunisch;Arumuñska;Arrumana;Arumeno;Aromán;Arumunština;Aromán;Aroemeens;Aromena;Àğóìûíñêàÿ;Aromania;x
arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;x
assyrian;Assyrian;Assyrienne;Assyrisch;Asyryjcka;Asiria;Assiro;Asszír;Asyrski;Asszír;Assyrisch;Assíria;Àññèğèéñêàÿ;Assyrialainen;x
australiano;Australiano;Italo-Australienne;Italo-Australisch;W³ochoaustralijska;Italo-Australiana;Australiano;Australiano;Australiano;Australiano;Australiano;Australiana-Italiana;Èòàëîàâñòğàëèéñêàÿ;Australiano;x
australienne;Australienne;Franco-Australienne;Anglo-Australisch;Frankoaustralijska;Franco-Australiana;Australienne;Australienne;Australienne;Australienne;Australienne;Australienne;Ôğàíêîàâñòğàëèéñêàÿ;Australienne;x
australus;Ostralus;Ostrale;Ostral;Ostra³ska;Ostrala;Ostralo;Ausztrál;Austrál;Ausztrál;Australijns;Ostrala;Îñòğàëü;Australa;x
bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Bai;Áàé;Bai;x
balkan;Balkan;Balkanique;Balkanisch;Ba³kañska;Balcánico;Balcanica;Balkán;Balkánski;Balkán;Balkan;Balcânico;Áàëêàíñêàÿ;Balkanin;x
barbarian;Barbarian;Barbare;Barbarisch;Barbarzyñca;Bárbaro;Barbaro;Barbár;Barbar;Barbár;Barbaar;Bárbara;Áàìáàğà;Barbaari;x
bazramani;Bazramani;Bâzrâmanie;Basramani;Bazramani;Bazramaní;Bazramani;Bazramani;Bazramani;Bazramani;Bazramani;Bazramani;Áàçğàìàíàÿ;Bazramani;x
beieren;Beieren;Beieren;Beieren;Beieren;Beieren;Beieren;Beieren;Beieren;Beieren;Beieren;Beieren;Áıéıæıíüñêàÿ;Beieren;x
belgian;Belgian;Belge;Belgisch;Belgijska;Belga;Belga;Belga;Belgicki;Belga;Belgisch;Belga;Áåëãèéñêàÿ;Belgialainen;x
beltramian;Beltramian;Beltramienne;Beltramisch;Beltramska;Beltramia;Beltramiana;Beltramian;Beltramian;Beltramian;Beltramian;Beltramiana;Áåëòğàìñêàÿ;Beltramian;x
boehmisch;Böhmisch;Beumiche;Teutsch-Böhmisch;Bemiszska;Bemicha;Bemiscia;Böhmisch;Böhmisch;Böhmisch;Böhmisch;Böhmisch;Á¸ìèøñêàÿ;Böhmisch;x
bomullborgar;Bomullborgar;Bomoulborgare;Bomullborgerisch;Bomullborgarska;Bomulburguesa;Bomulborgara;Bomullborgar;Bomullborgar;Bomullborgar;Bomullborgar;Bomullborgar;Áîìóëüáîğãàğñêàÿ;Bomullborgar;x
bornean;Bornean;Bornéenne;Borneisch;Borneañska;Bornea;Borneese;Borneói;Bornean;Borneói;Bornean;Bornéu;Áîğíåîñêàÿ;Bornean;x
breton;Breton;Bretonne;Bretonisch;Bretoñska;Bretona;Bretone;Breton;Breton;Breton;Breton;Bretã;Áğåòîíñêàÿ;Breton;x
brithenig;Brithenig;Brithenig;Brithenig;Brithenig;Brithenig;Brithenig;Brithenig;Brithenig;Brithenig;Brithenig;Brithenig;Áğèôåíèã;Brithenig;x
bundsfoervant;Bundsförvant;Boundsfeurvante;Bundsförvantisch;Bundsferwantska;Bundsfervanza;Bundsfervanza;Bundsförvant;Bundsförvant;Bundsförvant;Bundsförvant;Bundsförvant;Áóíäñô¸ğâàíò;Bundsförvant;x
bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Bythlimmoth;Áèòëèììîò;Bythlimmoth;x
cabottian;Cabottian;Cabotienne;Cabotisch;Kabotska;Cabocia;Cabottiana;Cabottian;Cabottian;Cabottian;Cabottian;Cabottiana;Êàáîòñêàÿ;Cabottian;x
caddoan;Caddoan;Caddo;Caddo;Kaddo;Caddo;Caddoano;Caddoan;Caddoan;Caddoan;Caddoan;Caddoã;Êıääî;Caddoan;x
calusan;Calusan;Calusaise;Kalusisch;Kaluska;Caluseña;Calusese;Calusan;Calusan;Calusan;Calusan;Calusã;Êàëóñêàÿ;Calusan;x
camite;Camite;Camite;Hamitisch;Chamska;Camita;Camita;Camite;Camite;Camite;Camite;Camita;Õàìñêàÿ;Camite;x
