KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
#ADDED RELIGIOUS GROUPS;;;;;;;;;;;;;;x
dummy_g;&;&;&;&;&;;;;;;&;&;;x
euro_pagan;European Pagan;Paganisme Européen;Europäisch. Heidentum;Pogañstwo Europejskie;Paganismo Europeo;;;;;;Paganismo Europeu;Åâğîïåéñê. ßçû÷åñòâî;;x
gnostic_g;Gnostic;Gnosticisme;Gnostizismus;Gnostycyzm;Gnosticismo;;;;;;Gnosticismo;Ãíîñòèöèñì;;x
indian;Indian;Paganisme Indien;Indisch. Heidentum;Pogañstwo Indyjskie;Paganismo Indio;;;;;;Paganismo Indiano;Èíäèéñê. ßçû÷åñòâî;;x
mena_pagan;Middle Eastern Pagan;Paganisme Moyen-Oriental;Nahöstlich. Heidentum;Pogañstwo Bliskowschodnie;Paganismo Medioriental;;;;;;Paganismo Medioriental;Áëèæíåâîñòî÷í. ßçû÷åñòâî;;x
red_pagan;American Pagan;Paganisme Américain;Amerikanisch. Heidentum;Pogañstwo Amerikañskie;Paganismo Americano;;;;;;Paganismo Americano;Àìåğèêàíñê. ßçû÷åñòâî;;x
zoroastrian_group;Zoroastrianism;Zoroastrisme;Zoroastrismus;Zoroastryzm;Zoroastrismo;;;;;;Zoroastrismo;Çîğîàñòğèçì;;x
#ADDED RELIGIONS;;;;;;;;;;;;;;x
dummy_religion;(Religion);(Religion);(Religion);(Religia);(Religión);;;;;;(Religião);(Ğåëèãèÿ);;x
noreligion;Atheist;Athéistes;Atheistisch;Bezbo¿noœæ;Atea;;;;;;Ateu;Àòåèñòè;;x
adamites;Adamitism;Adamites;Adamitisch;Adamityzm;Adanita;;;;;;Adamitismo;Àäàìèòñêèå;;x
arab_pagan;Bedouin Paganism;Païens Bédouins;Beduinisch-Heidnisch;Pogañstwo Beduiñskie;Pagana Beduina;;;;;;Paganismo beduíno;Áåäóèíñêèå ßçû÷åñêèå;;x
arian;Arianism;Arianites;Arianisch;Arianizm;Arriana;;;;;;Arianismo;Àğèàíñêèå;;x
aztec_reformed;Aztec;Aztèques;Aztekisch;Aztecstwo;Azteca;;;;;;Asteca;Àöòåêñêèå;;x
baltic_pagan;Baltic Pagan;Païens Baltiques;Baltisch Heidnisch;Pogañstwo Ba³tyckie;Pagana Báltica;;;;;;Pagão Báltico;Áàëòèéñêèå ßçû÷åñêèå;;x
baltic_pagan_reformed;Baltic;Baltiques;Baltisch;Ba³tycstwo;Báltica;;;;;;Báltico;Áàëòèéñêèå;;x
bektashi;Bektashi;Bektachis;Bektaschi;Bektaszijja;Bektashí;;;;;;Bektashi;Áåêòàøè;;x
bogomilist;Bogomilist;Bogomilites;Bogomilisch;Bogomili;Bogomila;;;;;;Bogomilista;Áîãîìèëû;;x
canaanite;Canaanite;Cananéens;Kanaanitisch;Kananejstwo;Cananea;;;;;;Cananeu;Êàíààíèòè;;x
cathar;Cathar;Cathares;Katharisch;Katarzy;Cátara;;;;;;Cátaro;Êàòàğû;;x
catholic_heresy;Catholic Heresy;Hérétiques Catholiques;Katholisch-Ketzerisch;Katolickie Kacerstwo;Herética Católica;;;;;;Heresia Católica;Êàòîëè÷åñêèå Åğåòèêè;;x
cybelene;Cybelene;Cybelènes;Kybeles Kultisch;Kybeleñstwo;Cybelene;;;;;;Cybelene;Êèáåëàñêèå;;x
druidist;Druidism;Druidistes;Druidisch;Druidyzm;Druidica;;;;;;Druidismo;Äğóèäñêèå;;x
druze;Druze;Druzes;Druse;Druzyjstwo;Drusa;;;;;;Druze;Äğóçñêèå;;x
finnish_pagan;Finnish Pagan;Païens Finlandais;Finnisch Heidnisch;Pogañstwo Fiñskie;Pagana Finlandesa;;;;;;Pagão Finlandês;Ôèíñêèå ßçû÷åñêèå;;x
finnish_pagan_reformed;Finnish;Finlandais;Finnisch;Fiñstwo;Finlandesa;;;;;;Finlandês;Ôèíñêèå;;x
fraticelli;Fraticelli;Fraticelles;Fraticelli;Fraticelli;Fraticelli;;;;;;Fraticelli;Ôğàòè÷åëëè;;x
generic_pagan;Pagan;Païens;Heidnisch;Pogañstwo;Pagana;;;;;;Pagão;ßçû÷åñêèå;;x
german_pagan;Irminism;Irministes;Iriminisch;Irmiñstwo;Irminesa;;;;;;Irminismo;Èğìèíñêèå;;x
gnostic;Gnosticism;Gnostiques;Gnostisch;Gnostycyzm;Gnóstica;;;;;;Gnosticismo;Ãíîñòè÷åñêèå;;x
hellenic_pagan;Hellenic;Helléniques;Hellenisch;Helleñstwo;Helénica;;;;;;Helênico;İëëèíèñòè÷åñêèå;;x
hetanism;Theodism;Theodistes;Theodisch;Teodistwo;Teodista;;;;;;Teodista;Òåîäèñêèå;;x
hurufi;Hurufi;Hurufites;Hurufi;Hurufijja;Hurufí;;;;;;Hurufi;Õóğóôèòû;;x
hussite;Hussite;Hussites;Hussitisch;Husytyzm;Husita;;;;;;Hussita;Ãóñòèû;;x
ibadi;Ibadi;Ibadites;Ibadit;Ibadytyzm;Ibadí;;;;;;Ibadi;Èáàäèòû;;x
iberian_pagan;Iberian;Ibériques;Iberisch;Iberyjstwo;Ibérica;;;;;;Ibérico;Èáåğèéñêèå;;x
iconoclast;Iconoclast;Iconoclastes;Ikonoklastisch;Ikonoklazm;Iconoclasta;;;;;;Iconoclasta;Èêîíîáîğ÷åñêèå;;x
inca_reformed;Incan;Incas;Inkaisch;Inkajstwo;Inca;;;;;;Inca;Èíêè;;x
inti;Inti;Intis;Intis Kultisch;Intistwo;Inti;;;;;;Inti;Èíòè;;x
jain;Jain;Jaïnistes;Dschainisch;Dÿinizm;Jainista;;;;;;Jain;Äæàéíñêèå;;x
jewish_heresy;Jewish Heresy;Hérétiques Juifs;Jüdisch Ketzerisch;¯ydowskie Kacerstwo;Herética Judía;;;;;;Heresia Judaica;Æèäîâñêèå Åğåòèêè;;x
karaite;Karaite;Karaïtes;Karait;Karaimizm;Caraíta;;;;;;Caraíta;Êàğàèìñêèå;;x
kemetic;Kemetism;Kémétistes;Kemetisch;Kemetyzm;Kemética;;;;;;Kemetismo;Êåìåòè÷åñêèå;;x
kharijite;Kharijite;Kharidjites;Charidschit;Charyd¿yzm;Kariyí;;;;;;Kharijite;Õàğèäæèòû;;x
lollard;Lollard;Lollards;Lollard;Lollardzi;Lolarda;;;;;;Lollard;Ëîëëàğäû;;x
manichean;Manichean;Manichéens;Manichäisch;Manicheizm;Maniquea;;;;;;Maniquean;Ìàíèõåéñêèå;;x
mardukism;Mardukism;Mardoukistes;Mardukisch;Mardukstwo;Mardukí;;;;;;Mardukism;Ìàğäóêñêèå;;x
mayan;Mayan;Mayan;Maya;Mayan;Mayan;;;;;;Mayan;ìàéÿ;;x
mazdaki;Mazdaki;Mazdakistes;Mazdakitisch;Mazdakijstwo;Mazdakí;;;;;;Mazdaki;Ìàçäàêèòñêèå;;x
megalithic;Megalithic;Megalithic;Megalithisch;Megalithic;Megalithic;;;;;;Megalithic;Ìåãàëèòè÷åñêèé;;x
messalian;Messalian;Messaliens;Messalianisch;Messalianie;Euquita;;;;;;Messalian;Ìåññàëèàíñêèå;;x
mithraism;Mithraism;Mithraïstes;Mithraskultisch;Mitraizm;Mitraica;;;;;;Mitraísmo;Ìèòğàèñòñêèå;;x
monophysite;Monophysite;Monophysites;Monophysitisch;Monofizytyzm;Monofisita;;;;;;Monofisita;Ìîíîôèçèòñêèå;;x
monothelite;Monothelite;Monothélites;Monotheletisch;Monoteletyzm;Monotelista;;;;;;Monotelita;Ìîíîôåëèñêèå;;x
muism;Muism;Muistes;Mu;Muijstwo;Muí;;;;;;Muismo;Ìóñîêû;;x
