Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
convene_erfurt_parliament_title;Convene the Erfurt Parliament;Convoquer le Parlement d'Erfurt;Einberufung des Erfurter Landtages;Zwolac Parlament Erfurtu;Convocar al Parlamento de Erfurt;Convocare il Parlamento di Erfurt;Sammankalla Erfurts parlament;Svolat erfurtskı parlament;Összehívja az erfurti parlamentet;Roep het Erfurt-parlement bijeen;Convocar o Parlamento de Erfurt;Ñîçâàòü İğôóğòñêèé ïàğëàìåíò;Kutsu koolle Erfurtin parlamentti;x
convene_erfurt_parliament_desc;Erfurt Union Parliament (March 20 – April 29, 1850) was a conference called by Prussia to form a union of German states headed jointly by Prussia and Austria. Opposed by Austria, the plan failed to win the adherence of the other large German states and had to be renounced by Prussia in the Punctation of Olmütz on November 29.;Le Parlement de l'Union d'Erfurt (20 mars – 29 avril 1850) était une conférence convoquée par la Prusse pour former une union d'États allemands dirigée conjointement par la Prusse et l'Autriche. Opposé par l'Autriche, le plan n'a pas réussi à gagner l'adhésion des autres grands États allemands et a dû être abandonné par la Prusse dans la ponctuation d'Olmütz le 29 novembre.;Das Erfurter Unionsparlament (20. März – 29. April 1850) war eine von Preußen einberufene Konferenz zur Bildung einer Union deutscher Staaten unter der gemeinsamen Führung von Preußen und Österreich. Gegen Österreich scheiterte der Plan jedoch an der Zugehörigkeit der anderen großen deutschen Staaten und musste am 29.;Parlament unijny w Erfurcie (20 marca – 29 kwietnia 1850) byl konferencja zwolana przez Prusy w celu utworzenia unii panstw niemieckich kierowanych wspólnie przez Prusy i Austrie. W opozycji do Austrii plan nie zdolal pozyskac przynaleznosci innych duzych panstw niemieckich i 29 listopada musial zostac wyrzucony przez Prusy w Punkcie Olmütz.;El Parlamento de la Unión de Erfurt (20 de marzo - 29 de abril de 1850) fue una conferencia convocada por Prusia para formar una unión de estados alemanes encabezados conjuntamente por Prusia y Austria. Con la oposición de Austria, el plan no logró la adhesión de los otros grandes estados alemanes y tuvo que ser renunciado por Prusia en la Punctation de Olmütz el 29 de noviembre.;Il Parlamento dell'Unione di Erfurt (20 marzo – 29 aprile 1850) è stata una conferenza convocata dalla Prussia per formare un'unione di stati tedeschi guidati congiuntamente da Prussia e Austria. Opposto dall'Austria, il piano non riuscì a ottenere l'adesione degli altri grandi stati tedeschi e dovette essere rinunciato dalla Prussia nella Punctation di Olmütz il 29 novembre.;Erfurts unionsparlament (20 mars – 29 april 1850) var en konferens som kallades av Preussen för att bilda en union av tyska stater ledda gemensamt av Preussen och Österrike. Motsatt av Österrike, lyckades planen inte vinna anslutning till de andra stora tyska staterna och måste avsägas av Preussen i Olmütz punktering den 29 november.;Erfurtskı unijní parlament (20. brezna – 29. dubna 1850) byla konference svolaná Pruskem k vytvorení unie nemeckıch státu v cele spolecne s Pruskem a Rakouskem. Plán, kterému se bránilo Rakousko, nezískal podporu ostatních velkıch nemeckıch státu a muselo se ho 29. listopadu vzdát Prusko v punktu Olmütz.;Az erfurti unió parlamentje (1850. március 20. – április 29.) Poroszország által összehívott konferencia a német államok uniójának létrehozására Poroszország és Ausztria közös élén. Ausztria ellenezte a tervet, amely nem nyerte el a többi nagy német állam csatlakozását, és Poroszországnak november 29-én az olmützi pontban le kellett mondania róla.;Erfurt Union Parliament (20 maart - 29 april 1850) was een conferentie die door Pruisen was bijeengeroepen om een unie van Duitse staten te vormen die gezamenlijk door Pruisen en Oostenrijk werden geleid. Tegengewerkt door Oostenrijk, slaagde het plan er niet in om de toetreding van de andere grote Duitse staten te winnen en moest het door Pruisen worden verworpen in de punctie van Olmütz op 29 november.;O Parlamento da União de Erfurt (20 de março a 29 de abril de 1850) foi uma conferência convocada pela Prússia para formar uma união dos estados alemães liderados conjuntamente pela Prússia e pela Áustria. Oposto pela Áustria, o plano não conseguiu conquistar a adesão de outros grandes estados alemães e teve de ser renunciado pela Prússia no Pontão de Olmütz em 29 de novembro.;Ïàğëàìåíò İğôóğòñêîãî ñîşçà (20 ìàğòà - 29 àïğåëÿ 1850 ã.) - êîíôåğåíöèÿ, ñîçâàííàÿ Ïğóññèåé äëÿ ñîçäàíèÿ ñîşçà ãåğìàíñêèõ ãîñóäàğñòâ, âîçãëàâëÿåìûõ Ïğóññèåé è Àâñòğèåé. Ïëàí, ïğîòèâ êîòîğîãî âûñòóïèëà Àâñòğèÿ, íå ñóìåë çàâîåâàòü ïîääåğæêó äğóãèõ êğóïíûõ ãåğìàíñêèõ ãîñóäàğñòâ, è 29 íîÿáğÿ Ïğóññèÿ îòêàçàëàñü îò íåãî âî âğåìÿ ïóíêòàöèè Îëüìşöà.;Erfurtin unionin parlamentti (20. maaliskuuta - 29. huhtikuuta 1850) oli konferenssi, jonka Preussi kutsui muodostamaan Saksan valtioiden liiton, jota johtivat yhdessä Preussi ja Itävalta. Itävallan vastustama suunnitelma ei onnistunut saamaan muiden suurten Saksan valtioiden hyväksyntää, ja Preussi joutui luopumaan siitä Olmützin pisteessä 29. marraskuuta.;x
EVTNAME33046;Erfurt Parliament - Success;Parlement d'Erfurt - Succès;Erfurter Landtag - Erfolg;Parlament Erfurtu - Sukces;Parlamento de Erfurt - Éxito;Parlamento di Erfurt - Successo;Erfurts parlament - framgång;Erfurtskı parlament – úspech;Erfurti Parlament – Siker;Erfurt Parlement - Succes;Parlamento de Erfurt - Sucesso;İğôóğòñêèé ïàğëàìåíò - óñïåõ;Erfurtin parlamentti - Menestys;x
EVTDESC33046;Our proposal of a new German fedaration under our leadership has been unanimously accepted.;Notre proposition d'une nouvelle fédération allemande sous votre direction a été acceptée à l'unanimité.;Unser Vorschlag eines neuen Deutschen Bundes unter Ihrer Führung wurde einstimmig angenommen.;Nasza propozycja nowej federacji niemieckiej pod waszym kierownictwem zostala jednoglosnie przyjeta.;Nuestra propuesta de una nueva federación alemana bajo su liderazgo ha sido aceptada por unanimidad.;La nostra proposta di una nuova federazione tedesca sotto la vostra guida è stata accettata all'unanimità.;Vårt förslag om ett nytt tyskt förbund under er ledning har enhälligt antagits.;Náš návrh nové nemecké federace pod vaším vedením byl jednomyslne prijat.;Javaslatunkat egy új német szövetség létrehozására az Ön vezetése alatt egyhangúlag elfogadták.;Ons voorstel voor een nieuwe Duitse federatie onder uw leiding is unaniem aanvaard.;Nossa proposta de uma nova federação alemã sob sua liderança foi aceita por unanimidade.;Íàøå ïğåäëîæåíèå î ñîçäàíèè íîâîé ôåäåğàöèè Ãåğìàíèè ïîä âàøèì ğóêîâîäñòâîì áûëî åäèíîãëàñíî ïğèíÿòî.;Ehdotuksemme uudesta Saksan liittovaltiosta teidän johdollanne on hyväksytty yksimielisesti.;x
EVTOPTA33046;Three Hurrahs for the German Empire!;Trois hourras pour l'empire allemand !;Drei Hurra für das Deutsche Reich!;Trzy Hurra dla Cesarstwa Niemieckiego!;¡Tres hurras para el Imperio alemán!;Tre Urrà per l'Impero tedesco!;Tre hurra för det tyska riket!;Tri hurá pro Nemeckou ríši!;Három hurra a Német Birodalomnak!;Drie hoera voor het Duitse rijk!;Três Hurrahs para o Império Alemão!;Òğè óğà Ãåğìàíñêîé èìïåğèè!;Kolme hurraa Saksan valtakunnalle!;x
EVTNAME33047;Erfurt Parliament - Partial Success;Parlement d'Erfurt - Succès partiel;Erfurter Landtag - Teilerfolg;Parlament Erfurtu - Czesciowy sukces;Parlamento de Erfurt - Éxito parcial;Parlamento di Erfurt - Successo parziale;Erfurts parlament - partiell framgång;Erfurtskı parlament – cástecnı úspech;Erfurti Parlament – Részleges siker;Parlement van Erfurt - Gedeeltelijk succes;Parlamento de Erfurt - Sucesso parcial;Ïàğëàìåíò İğôóğòà - ÷àñòè÷íûé óñïåõ;Erfurtin parlamentti - Osittainen menestys;x
EVTDESC33047;Our proposal of a new German federation under our leadership has been thwarted by our rivals. We may need to start considering the idea of a Lesser Germany.;Notre proposition d'une nouvelle fédération allemande sous notre direction a été contrecarrée par nos rivaux. Nous devrons peut-être commencer à envisager l'idée d'une Petite Allemagne.;Unser Vorschlag einer neuen deutschen Föderation unter unserer Führung wurde von unseren Rivalen vereitelt. Wir müssen vielleicht anfangen, über die Idee eines Kleindeutschlands nachzudenken.;Nasza propozycja nowej federacji niemieckiej pod naszym przywództwem zostala udaremniona przez naszych rywali. Byc moze bedziemy musieli zaczac rozwazac idee Malych Niemiec.;Nuestra propuesta de una nueva federación alemana bajo nuestro liderazgo ha sido frustrada por nuestros rivales. Es posible que debamos comenzar a considerar la idea de una Alemania Menor.;La nostra proposta di una nuova federazione tedesca sotto la nostra guida è stata ostacolata dai nostri rivali. Potrebbe essere necessario iniziare a considerare l'idea di una piccola Germania.;Vårt förslag om ett nytt tyskt förbund under vår ledning har omintetgjorts av våra rivaler. Vi kan behöva börja överväga idén om ett Lesser Germany.;Náš návrh nové nemecké federace pod naším vedením byl zmaren našimi rivaly. Moná budeme muset zacít uvaovat o myšlence Malého Nemecka.;A mi vezetésünk alatti új német szövetségre vonatkozó javaslatunkat riválisaink meghiúsították. Lehet, hogy el kell kezdenünk gondolkodni a Kis-Németország ötletén.;Ons voorstel voor een nieuwe Duitse federatie onder onze leiding is gedwarsboomd door onze rivalen. Misschien moeten we het idee van een Klein-Duitsland gaan overwegen.;Nossa proposta de uma nova federação alemã sob nossa liderança foi frustrada por nossos rivais. Podemos precisar começar a considerar a ideia de uma Alemanha Menor.;Íàøå ïğåäëîæåíèå î ñîçäàíèè íîâîé íåìåöêîé ôåäåğàöèè ïîä íàøèì ğóêîâîäñòâîì áûëî ñîğâàíî íàøèìè ñîïåğíèêàìè. Âîçìîæíî, íàì ïğèäåòñÿ íà÷àòü ğàññìàòğèâàòü èäåş Ìàëîé Ãåğìàíèè.;Kilpailijamme ovat tehneet tyhjäksi ehdotuksemme uudesta Saksan liitosta meidän johdollamme. Meidän on ehkä alettava pohtia ajatusta Pien-Saksasta.;x
EVTOPTA33047;Less is more;Moins est plus;Weniger ist mehr;Mniej znaczy wiecej;Menos es más;Meno è di più;Mindre är mer;Méne je více;A kevesebb több;Minder is meer;Menos é mais;Ìåíüøå - áîëüøå;Vähemmän on enemmän;x
ERF;Erfurt Union;Union d'Erfurt;Erfurter Union;Unia Erfurtu;Unión de Erfurt;Unione di Erfurt;Erfurt Union;Erfurtská unie;Erfurti Unió;Erfurt Unie;União de Erfurt;İğôóğòñêèé ñîşç;Erfurtin liitto;x
ERF_ADJ;German;allemand;deutsch;niemiecki;alemán;tedesco;tysk;nemeckı;német;Duits;alemão;íåìåöêèé;saksa;x
