KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
EU4_NAME;The End of Europa Universalis IV;La fin d'Europa Universalis IV;Das Ende von Europa Universalis IV;Koniec Europy Universalis IV;El fin de Europa Universalis IV;La fine di Europa Universalis IV;Az Europa Universalis IV vége;Konec Europa Universalis IV;Az Europa Universalis IV vége;Het einde van Europa Universalis IV;O fim da Europa Universalis IV;Êîíåö Åâğîïû Óíèâåğñàëèñà IV;Europa Universalis IV-n loppu;x
EU4_DESC;Maestro, you have guided your nation throughout the Early Modern Period. Perhaps involved in a megacampaign, will you manage to play until the winds of a World War roar in 1936? Will you still keep your position of prestige? (Sidenote: There could be problems playing Victoria II earlier than 1820);Joueur, vous avez guidé votre nation tout au long de la période moderne. Peut-être impliqué dans une méga campagne, parviendrez-vous à jouer jusqu'à ce que les vents rugissants de guerre mondiale en 1936? Aurez-vous toujours votre position de prestige? (Nota bene: il pourrait y avoir des problèmes en jouant sur Victoria II avant 1820);Spieler, Sie haben Ihre Nation durch die frühe Neuzeit geführt. Werden Sie schaffen, vielleicht in eine Megakampagne verwickelt, die Winde des Weltkrieges vom Jahr 1936 zu erreichen? Werden Sie Ihre Prestigeposition behalten? (Nebenbemerkung: Es könnte Probleme geben, Victoria II vor 1820 zu spielen.);Gracz, prowadzi³eœ swój naród przez ca³y okres nowo¿ytnoœci. Byæ mo¿e zaanga¿ujesz siê w megakampaniê, czy zdo³asz zagraæ a¿ do wiatrów z czasów wojny œwiatowej w 1936 roku? Czy nadal utrzymasz swoj¹ presti¿ow¹ pozycjê? (Sidenote: Mog³y wyst¹piæ problemy z graniem w Victoria II przed 1820 r.);Jugador, Usted ha guiado a Su nación durante el período moderno temprano. Tal vez involucrado en una megacampaña, ¿podrá Ud. jugar hasta los vientos de un rugido de la Guerra Mundial en 1936? ¿Seguirá manteniendo Su posición de prestigio? (Nota: podría haber problemas para jugar Victoria II antes de 1820);Giocatore, avete guidato la Vostra nazione durante il periodo moderno. Forse coinvolto in una megacampagna, riuscirete a giocare fino ai venti ruggenti della guerra mondiale nel 1936? Manterrete ancora la Vostra posizione di prestigio? (Nota bene: potrebbero esserci problemi a giocare a Victoria II prima del 1820);Játékos, a korai modern idõszakban vezeted a nemzetét. Lehet, hogy részt vesz egy megakampányban, képes leszel játszani, amíg az 1936-os világháború szelei fel nem ordítanak? Továbbra is megtartja presztízs pozícióját? (Sidenote: Probléma lehet a Victoria II. Játékkal 1820 elõtt);Hráè, vedl jste svùj národ v období raného novovìku. Moná se zapojíte do megakampanì, dokáete hrát a do vìtru øevu svìtové války v roce 1936? Budete si stále udrovat svou presti? (Sidenote: Mohou existovat problémy s hraním Victoria II døíve ne v roce 1820);Játékos, a korai modern idõszakban vezeted a nemzetét. Lehet, hogy részt vesz egy megakampányban, képes leszel játszani, amíg az 1936-os világháború szelei fel nem ordítanak? Továbbra is megtartja presztízs pozícióját? (Sidenote: Probléma lehet a Victoria II. Játékkal 1820 elõtt);Speler, je hebt je land door de vroegmoderne periode geleid. Misschien betrokken bij een megacampagne, lukt het je om te spelen tot de winden van een Wereldoorlogoorlog in 1936? Behoudt u nog steeds uw prestigieuze positie? (Sidenote: er kunnen problemen zijn met het spelen van Victoria II eerder dan 1820);Jogador, você guiou sua nação durante o início do período moderno. Talvez envolvido em uma mega-campanha, você conseguirá jogar até os ventos de uma guerra mundial rugirem em 1936? Você ainda manterá sua posição de prestígio? (Nota: Pode haver problemas ao reproduzir o Victoria II antes de 1820);Èãğîê, âû ğóêîâîäèëè ñâîåé íàöèåé â òå÷åíèå ğàííåãî Íîâîãî ïåğèîäà. Âîçìîæíî, ó÷àñòâóÿ â ìåãàêàìïàíèè, óäàñòñÿ ëè âàì ñûãğàòü, ïîêà íå ğàçğàçèòñÿ âåòåğ ìèğîâîé âîéíû â 1936 ãîäó? Áóäåòå ëè âû ñîõğàíÿòü ñâîş ïğåñòèæíóş ïîçèöèş? (Ïğèìå÷àíèå: ìîãóò áûòü ïğîáëåìû ñ Âèêòîğèåé II äî 1820 ãîäà);Pelaaja, olet opastanut kansakuntasi koko varhaisen ajanjakson ajan. Ehkä mukana megakampanjassa, onnistutko pelaamaan, kunnes maailmansodan tuulet karjuvat vuonna 1936? Pitäisitkö edelleen arvostaa asemaasi? (Sidenote: Victoria II-n soittamisessa voi olla ongelmia aikaisemmin kuin vuonna 1820);x
form_two_sicilies_title;Form the Kingdom of the Two Sicilies;Former le Royaume des Deux Siciles;Bauung des Königreichs der beiden Sizilien;Tworz¹c Królestwo Obojga Sycylii;Forma el Reino de las Dos Sicilias;Formare il Regno delle Due Sicilie;Formában a Két Szicília Királysága;Formovat království dvou Sicilies;Formában a Két Szicília Királysága;Vorm het Koninkrijk van Twee Sicilies;Forma o Reino das Duas Sicílias;Ôîğìèğîâàíèå Êîğîëåâñòâà äâóõ ñèöèëèé;Muoto kuningaskunta Kaksi Sisiliain;x
form_two_sicilies_desc;It's time to unify the Sicily on this side of the Lighthouse with the one beyond it under one crown;Il est temps d'unifier la Sicile de ce côté du Phare avec celle au-delà sous une seule couronne;Es ist die Zeit, das Sizilien auf dieser Seite des Leuchtturms mit dem über ihm unter derselben Krone zu vereinen;Nadszed³ czas, aby ujednoliciæ Sycyliê na tej stronie morska z jednym poza nim pod jednym korony;Es hora de unificar la Sicilia en este lado del faro con el más allá de él bajo una corona;È il momento di unificare la Sicilia al di qua del Faro con quella al di là sotto un'unica corona;Itt az ideje, hogy egyesítse a Szicília ezen az oldalán a világítótorony az egyik mögötte alatt egy korona;Je èas sjednotit Sicílii na této stranì Majáku s tou, která je za ní pod jednou korunou;Itt az ideje, hogy egyesítse a Szicília ezen az oldalán a világítótorony az egyik mögötte alatt egy korona;Het is tijd om de Sicilië verenigen aan deze kant van de Vuurtoren met de ene daarbuiten onder één kroon;É hora de unificar a Sicília neste lado do farol com o que está além dele sob uma coroa;Ïğèøëî âğåìÿ îáúåäèíèòü Ñèöèëèş íà ıòîé ñòîğîíå Ìàÿêà ñ òîé, ÷òî íàõîäèòñÿ çà íåé ïîä îäíîé êîğîíîé;On aika yhtenäistää Sisiliaan tällä puolella majakan kanssa yksi yli sille yksi kruunu;x
mongol_khagan_title;Khagan of the Mongols;Khagan des Mongols;Khagan der Mongolen;Kagan Mongo³ów;Khagan de los mongoles;Khagan dei Mongoli;Khagan a mongolok;Khagan z Mongolù;Khagan a mongolok;Khagan van de Mongolen;Khagan dos mongóis;Êàãàí ìîíãîëîâ;Khagan mongolien;x
mongol_khagan_desc;Our Khan is powerful enough to be known as a Khagan;Notre Khan est assez puissant pour être connu comme un Khagan;Unser Khan ist stark genug, um als Khagan bekannt zu sein;Nasz Khan jest wystarczaj¹co silne, aby byæ znany jako Kagan;Nuestro Khan es lo suficientemente poderoso como para ser conocido como Khagan;Il nostro Khan è abbastanza potente da essere conosciuto come un Khagan;A Khan elég erõs, hogy ismert, mint a Khagan;Náš Khan je dostateènì silnı, aby byl znám jako Khagan;A Khan elég erõs, hogy ismert, mint a Khagan;Onze Khan is krachtig genoeg om bekend te worden als een Khagan;Nosso Khan é poderoso o suficiente para ser conhecido como um Khagan;Íàø Õàí äîñòàòî÷íî ìîùíûé, ÷òîáû åãî íàçûâàëè õàãàíîì;Meidän Khan on tehokas tarpeeksi tunnettu Khagan;x
reform_into_china_title;Reform into China;Réforme en Chine;Reform in China;Zreformowaæ w Chinach;Reforma en China;Riformare la Cina;Reform Kínában;Reforma do Èíny;Reform Kínában;Hervormen in China;Reforma na China;Ğåôîğìà â Êèòàå;Uudistaa Kiinaan;x
reform_into_china_desc;We can claim the Mandate of Heaven as $MONARCHTITLE$ managed to administrate all the Middle States;Nous pouvons prétendre au Mandat du Ciel, car $MONARCHTITLE$ a réussi à administrer tous les États Centrals;Wir können das Mandat des Himmels als $MONARCHTITLE$ beanspruchen, alle Mittelstaaten zu verwalten;Mo¿emy ubiegaæ siê o mandat niebios jako $MONARCHTITLE$ uda³o siê administrowaæ ca³y Bliski cz³onkowskie;Podemos reclamar el Mandato del Cielo como $MONARCHTITLE$ administrado para administrar todos los Estados del Medio;Siamo in grado di rivendicare il Mandato del Cielo dato che il $MONARCHTITLE$ è riuscito ad amministrare tutti gli Stati Centrali;Akkor azt mondhatjuk, a mandátum Mennyei $MONARCHTITLE$ sikerült igazgat minden Közép Államok;Mùeme nárokovat Nebeskı mandát, kdy se $ MONARCHTITLE $ podaøilo spravovat všechny Støední státy;Akkor azt mondhatjuk, a mandátum Mennyei $ MONARCHTITLE $ sikerült igazgat minden Közép Államok;We kunnen het mandaat van de Hemel claimen als $MONARCHTITLE$ geslaagd om administreren alle Midden-staten;Podemos reivindicar o Mandato do Céu como $MONARCHTITLE$ conseguiu administrar todos os Estados do Meio;Ìû ìîæåì òğåáîâàòü Ìàíäàòà Íåáåñ, ïîñêîëüêó $MONARCHTITLE$ óïğàâëÿåò âñåìè Ñğåäíèìè Øòàòàìè;Voimme vaatia taivaan mandaatti kuin $MONARCHTITLE$ onnistunut hallinnoimaan Lähi valtioissa;x
reform_into_china_NEWS_SHORT;The peoples of China unified under one flag. To better administrate the new country, the Chinese mandarins decided to split it into cliques;Les peuples de la Chine réunis sous un seul drapeau. Pour mieux administrer le nouveau pays, les mandarins chinois ont décidé de le diviser en cliques;Die Völker China vereinigten sich unter einer Flagge. Um das neue Land besser zu verwalten, beschlossen die chinesischen Mandarine, es in Cliquen zu teilen;Narody Chinach zjednoczone pod jedna flaga. Aby lepiej zarz¹dzaæ nowy kraj, chiñskie mandarynki postanowiliœmy podzieliæ ja na klik;Los pueblos de China se unieron bajo una sola bandera. Para administrar mejor el nuevo país, los mandarines chinos decidieron dividirlo en camarillas;Popoli della Cina unificati sotto unica bandiera. Per gestire meglio il nuovo paese, i mandarini cinesi lo hanno diviso in clique;A népek Kína egységes egy zászló alatt. Jobb kezelése érdekében az új ország, a kínai mandarin döntött bonthatjuk klikkek;Lidé Èíny se sjednotili pod jednou vlajkou. Pro lepší správu nové zemì se èínští mandarínci rozhodli rozdìlit ji na kliky;A népek Kína egységes egy zászló alatt. Jobb kezelése érdekében az új ország, a kínai mandarin döntött bonthatjuk klikkek;De volkeren van China verenigd onder één vlag. Om beter te beheren het nieuwe land, de Chinese mandarijnen besloten om het te splitsen in klieken;Os povos da China unificados sob uma bandeira. Para melhor administrar o novo país, os mandarins chineses decidiram dividi-lo em camaradas;Íàğîäû Êèòàÿ îáúåäèíèëèñü ïîä îäíèì ôëàãîì. ×òîáû ëó÷øå óïğàâëÿòü íîâîé ñòğàíîé, êèòàéñêèå ìàíäàğèíû ğåøèëè ğàçáèòü åå íà êëèêè;Kansat Kiinan yhtenäinen yhden lipun. Paremmin hallinnoimaan uuden maan, Kiinan mandariineja päätti jakaa sen klikkien;x
reform_into_china_NEWS_MEDIUM;The peoples of China have been united under one flag. At the ceremony in Nanking, the unification was proclaimed and new cliques were created to help the administration of the new country.;Les peuples de Chine ont été unis sous un seul drapeau. Lors de la cérémonie à Nankin, l'unification a été proclamée et de nouvelles cliques ont été créées pour aider l'administration du nouveau pays.;Die Völker Chinas sind unter einer Flagge vereinigt worden. Bei der Zeremonie in Nanking wurde die Vereinigung verkündet und neue Cliquen geschaffen, um die Verwaltung des neuen Landes zu unterstützen.;Narody Chiny zosta³y zjednoczone pod jedna flaga. Na ceremonii w Nankinie, unifikacja zosta³a og³oszona i nowe kliki zosta³y stworzone, aby pomóc administracji nowego kraju.;Los pueblos de China han estado unidos bajo una sola bandera. En la ceremonia en Nanking se proclamó la unificación y se crearon nuevas camarillas para ayudar a la administración del nuevo país.;I popoli della Cina sono state uniti sotto un'unica bandiera. Alla cerimonia a Nanchino, l'unificazione è stata proclamata e nuove cricche sono stati create per aiutare l'amministrazione del nuovo paese.;A népek Kínában már egyesült egy zászló alatt. Az ünnepségen a Nanking, a egyesítést hirdetett és új klikkek jött létre, hogy segítse az adminisztráció az új ország.;Lidé Èíny byli sjednoceni pod jednou vlajkou. Na slavnostním ceremoniálu v Nankingu bylo slavnostnì sjednoceno sdruení a byly vytvoøeny nové klíce, které by pomohly administraci nové zemì.;A népek Kínában már egyesült egy zászló alatt. Az ünnepségen a Nanking, a egyesítést hirdetett és új klikkek jött létre, hogy segítse az adminisztráció az új ország.;De volkeren van China zijn verenigd onder één vlag. Tijdens de ceremonie in Nanking, werd de eenwording verkondigd en nieuwe kliekjes werden gecreëerd om het beheer van het nieuwe land te helpen.;Os povos da China foram unidos sob uma bandeira. Na cerimônia em Nanking, a unificação foi proclamada e novas cliques foram criadas para ajudar a administração do novo país.;Íàğîäû Êèòàÿ îáúåäèíåíû ïîä îäíèì ôëàãîì. Íà öåğåìîíèè â Íàíêèíå áûëî ïğîâîçãëàøåíî îáúåäèíåíèå è ñîçäàíû íîâûå êëèêè, ÷òîáû ïîìî÷ü àäìèíèñòğàöèè íîâîé ñòğàíû.;Kansat Kiina ovat yhdistyneet yhden lipun. Tilaisuudessa Nankingissä yhdistymisen julistettiin ja uusia klikkien luotiin auttamaan hallinnon uudessa maassa.;x
