KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
oldspain;Iberian;Ibérique;Iberisch;Iberyjski;Ibérico;Iberico;ibériai;iberskı;ibériai;Iberisch;Ibérico;Èáåğèéñêèé;Iberian;x
illyrian;Illyrian;Illyrien;Illyrisch;Iliryjski;Ilirio;Illirico;Illyrian;Illyrian;Illyrian;Illyrian;Ilíria;Èëëèğèéñêèé;Illyrian;x
nuragic;Nuragic;Nuragique;Nuragisch;Nuragic;Nurágico;Nuragico;Nuragic;Nuragic;Nuragic;Nuraghische;Nurágico;Íóğàãè÷åñêèé;Nuragic;x
vandal;Vandal;Vandale;Vandalisch;Wandal;Vándalo;Vandalo;vandál;Vandal;vandál;Vandaal;Vândalo;Âàíäàëñêèé;Vandaali;x
alexandrine;Alexandrine;Alexandrin;Alexandriner;Aleksandryn;Alejandrino;Alessandrino;Alexandriai;Alexandrine;Alexandriai;Alexandrijn;Alexandrino;Àëåêñàíäğèí;Aleksandriini;x
pie_american;Newehti;Néwéhti;Newehti;Newehti;Newehti;Newehti;Newehti;Newehti;Newehti;Newehti;Newehti;Íåóåãòèé;Newehti;x
pie_australian;Sohwl;Sohwl;Sohwl;Sohwl;Sohwl;Sohwl;Sohwl;Sohwl;Sohwl;Sohwl;Sohwl;Ñîãóëü;Sohwl;x
pie_african;Bhleg;Bhlègue;Bhleg;Bhleg;Bhleg;Bhleg;Bhleg;Bhleg;Bhleg;Bhleg;Bhleg;Áõëåã;Bhleg;x
pre_indo_european;Pre-Indo-European;Pré-indo-européen;Vorindoeuropäisch;Przedindoeuropejskie;Preindoeuropeo;Pre-indoeuropeo;Indoeurópa elotti;Preindoevropskı;Indoeurópa elotti;Pre-Indo-Europees;Pré-indo-europeu;Äîèíäîåâğîïåéñêèé;Pre-indoeurooppalainen;x
canaanite;Canaanite;Cananéen;Kanaanitisch;Kananejczyk;Canaanita;Cananea;kánaáni;Canaanite;kánaáni;Kanaäniet;Cananeu;Õàíààíñêàÿ;Kanaanilainen;x
mardukism;Mardukism;Mardoukisme;Mardukismus;Mardukizm;Mardukismo;Marduchismo;Mardukizmus;Mardukismus;Mardukizmus;Mardukisme;Mardukism;Ìàğäóêèçì;Mardukismi;x
OSP;Iberia;Ibérie;Iberia;Iberia;Iberia;Iberia;Iberia;Iberia;Iberia;Iberia;Ibéria;Èáåğèÿ;Iberia;x
OSP_ADJ;Iberian;ibérique;Iberisch;Iberyjsk.;Ibérica;Iberica;ibériai;iberskı;ibériai;Iberisch;Ibérico;Èáåğèéñê.;Iberian;x
VAN;Vandalia;Vandalia;Vandalia;Vandalia;Vandalia;Vandalia;Vandalia;Vandalia;Vandalia;Vandalia;Vandalia;Âàíäàëèÿ;Vandalia;x
VAN_ADJ;Vandalic;vandalique;Vandalisch;Wandalicz.;Vandalica;Vandala;Vandál;vandalskı;Vandál;Vandaal;Vandálico;Âàíäàëè÷åñê.;Vandaali;x
zzz_religion_canaanite;Religion: Canaanite;Religion: Cananéenne;Religion: Kanaanitisch;Religia: Kananejska;Religión: Cananea;Religione: Cananea;Vallás: kánaáni;Náboenství: Kanaánci;Vallás: kánaáni;Religie: Kanaänitisch;Religião: Cananeu;Ğåëèãèÿ: Õàíààíñêàÿ;Uskonto: kanaanilainen;x
zzz_religion_mardukism;Religion: Mardukism;Religion: Mardoukisme;Religion: Mardukismus;Religia: Mardukizm;Religión: Mardukismo;Religione: Marduchismo;Vallás: mardukizmus;Náboenství: Mardukismus;Vallás: mardukizmus;Religie: Mardukism;Religião: Marduque;Ğåëèãèÿ: Ìàğäóêèçì;Uskonto: Mardukismi;x
