KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
AAA;x;x;x;x;x;x;x;x;x;x;x;x;x;x
AAA_ADJ;x;x;x;x;x;x;x;x;x;x;x;x;x;x
AAC;Aachen;Aix-la-Chapelle;Aachen;Aachen;Aquisgrán;Aquisgrana;Aachen;Aachen;Aachen;Aachen;Aachen;Ààõåí;Aachen;x
AAC_ADJ;Aachener;Aixois;Aachener;Aachener;Aquisgranés;Aquisgranese;aachener;Aachener;aachener;Aachener;Aachener;Ààõåíåğ;Aachener;x
ABB;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Dongola;Äîíãîëà;Dongola;x
ABB_ADJ;Dongolan;du Dongola;Dongola-;Dongolan;Dongolan;Dongolana;Dongolan;Dongolan;Dongolan;Dongolan;Dongolan;Äîíãîëàí;Dongolan;x
ABE;Abenaki;Abénaquis;Abenaki;Abenakowie;Abenaki;Abenachi;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Àáåíàêè;Abenaki;x
ABE_ADJ;Abenaki;Abénaqui;Abenaki;Abenakowie;Abenaki;Abenaca;Abenaki;Abenaki;Abenaki;Abenaki;Abenaki;Àáåíàêè;Abenaki;x
ABK;Abkhazia;Abkhazie;Abchasien;Abchazja;Abjasia;Abcasia;Abházia;Abcházie;Abházia;Abchazië;Abecásia;Àáõàçèÿ;Abhasia;x
ABK_ADJ;Abkhazian;Abkhaze;Abchasisch;Abchazji;Abjasio;Abcasa;abház;Abcházie;abház;Abchazisch;Abecásio;àáõàçñê.;abhaasi;x
ABO;The Aborigines;Les Aborigènes;Die Ureinwohner;Aborygeni;Los aborigenes;Gli Aborigeni;A bennszülöttek;Domorodci;A bennszülöttek;De Aboriginals;Os aborígenes;Àáîğèãåíû;Aborigines;x
ABO_ADJ;Aborigine;Aborigène;Ureinwohner-;Aborygeni;Aborigen;Aborigena;bennszülött;Domorodec;bennszülött;Inboorling;Aborígene;Àáîğèãåí;Alkuasukas;x
ACA;Acadia;Acadie;Akadien;Acadia;Acadia;Acadia;Acadia;Acadia;Acadia;Acadia;Acadia;Àêàäèÿ;acadia;x
ACA_ADJ;Acadian;Acadien;Akadisch;Acadian;Acadiense;Acadiana;Acadian;Acadian;Acadian;Acadian;Acádico;Àêàäèàí;Novascotialainen;x
ACH;Achaea;Achaïe;Achaea;Achaja;Acaya;Acaia;Achaea;Achaea;Achaea;Achaea;Acaia;Àõåèÿ;Achaea;x
ACH_ADJ;Achaean;Achéen;Achäer;Achajskim;Acayan;Achea;Achaean;Achaean;Achaean;Achaean;Aqueo;Àõåéñê.;Achaean;x
ADA;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Adal;Àäàë;Adal;x
ADA_ADJ;Adal;d'Adal;Adal-;Adal;Adal;di Adal;Adal;Adal;Adal;Adal;Adal;Àäàë;Adal;x
ADO;Andorra;Andorre;Andorra;Andora;Andorra;Andorra;Andorra;Andorra;Andorra;Andorra;Andorra;àíäîğğà;Andorra;x
ADO_ADJ;Andorran;Andorran;Andorranisch;Andorran;Andorranos;Andorrana;andorrai;Andorran;andorrai;Andorrese;Andorrana;Àíäîğğàíñê.;Andorran;x
ADU;Andalusia;Andalousie;Andalusien;Andaluzja;Andalucía;Andalusia;Andalúzia;Andalusie;Andalúzia;Andalusië;Andaluzia;Àíäàëóñèÿ;Andalusia;x
ADU_ADJ;Andalusian;Andalou;Andalusisch;Andaluzyjski;Andaluz;Andalusa;Andalúz;Andaluskı;Andalúz;Andalusisch;Andaluz;Àíäàëóññê.;Andalusian;x
AES;Anglo-Saxony;Anglo-Saxe;Angelsachsen;Anglo-Saksonia;Anglosajona;Anglo-Sassonia;Angol-Szász;Anglosaské;Angol-Szász;Anglo-Saksen;Anglo-saxônia;Àíãëî-Ñàêñîíèÿ;Anglo-Saksi;x
AES_ADJ;Anglo-Saxon;Anglo-saxon;Angelsächsisch;Anglosaski;anglosajón;Anglosassone;angolszász;Anglosaskı;angolszász;Angelsaksisch;Anglo-saxão;Àíãëîñàêñîíñê.;Anglosaksinen;x
AFA;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Afar;Àôàğ;Afar;x
AFA_ADJ;Afar;Afar;Afar;Afar;Afar;di Afar;Afar;Afar;Afar;Afar;Afar;Àôàğ;Afar;x
AGC;Angoche;Angotché;Angotsche;Angoche;Angoche;Angoce;Angoche;Angoše;Angoche;Angoche;Angoche;Àíãî÷å;Angoche;x
AGC_ADJ;Angochean;Angotchien;Angotsche-;Angochean;Angoqueño;Angocese;Angochean;Angoèan;Angochean;Angochean;Angocheano;Àíãî÷ñê.;Angochean;x
AGU;Anguilla;Anguilla;Anguilla;Anguilla;Anguila;Anguilla;Anguilla;Anguilla;Anguilla;Anguilla;Anguila;Àíãèëüÿ;Anguilla;x
AGU_ADJ;Anguillean;Anguillais;Anguillanisch;Anguillean;Anguileano;Anguilliana;Anguillean;Anguillean;Anguillean;Anguillean;Anguilean;Àíãèëüñê.;Anguillean;x
AIN;Ainu;Aïnou;Ainu;Ainu;Ainu;Ainu;ainu;Ainu;ainu;ainu;Ainu;Àéíû;Ainu;x
AIN_ADJ;Ainu;Aïnou;Ainu;Ainu;Ainu;Ainu;ainu;Ainu;ainu;ainu;Ainu;Àéíû;Ainu;x
AJU;Ajuuraan;Ajuran;Ajuran;Ajuuraan;Ajuuraan;Agiuran;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Àäæóğàí;Ajuuraan;x
AJU_ADJ;Ajuuraan;Ajuran;Ajuran-;Ajuuraan;Ajuuraan;Agiurana;Ajuuraan;Ajuuraan;Ajuuraan;Ajuuraan;Ajúuran;Àäæóğàí;Ajuuraan;x
AKH;Astrakhan;Astrakhan;Astrachan;Karakul;Astracán;Astracan;Asztrahán;Astrachan;Asztrahán;Astrakan;Astracã;Àñòğàõàí;astrakaani;x
AKH_ADJ;Astrakhani;Astrakhannais;Astrachan-;Karakuli;Astracáni;Astracana;Astrakhani;Astrakhani;Astrakhani;Astrakhani;Astrakhani;Àñòğàõàíè;Astrakhani;x
AKK;Ak Koyunlu;Aq Qoyunlu;Aq Qoyunlu;Ak Koyunlu;Ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Àê Êîşíëó;ak Koyunlu;x
AKK_ADJ;Ak Koyunlu;d'Aq Qoyunlu;Aq Qoyunlu-;Ak Koyunlu;Ak Koyunlu;di Ak Koyunlu;ak Koyunlu;Ak Koyunlu;ak Koyunlu;Ak Koyunlu;Ak Koyunlu;Àê Êîşíëó;ak Koyunlu;x
ALE;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Alençon;Àëîíñîí;Alençon;x
ALE_ADJ;Alençon;Alençonnais;Alençon-;Alençon;Alençon;Alençonese;Alençon;Alençon;Alençon;Alençon;Alençon;Àëîíñîí;Alençon;x
ALH;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Õààñà;Haasa;x
ALH_ADJ;Haasa;d'Haasa;Haasa-;Haasa;Haasa;di Haasa;Haasa;Haasa;Haasa;Haasa;Haasa;Õààñà;Haasa;x
ALI;the Alien Invaders;Les Envahisseurs Aliens;Die Ausländischen Einfäller;Alien Invaders;Invasores alienígenas;Gli Invasori Alieni;Alien Invaders;Alien Invaders;Alien Invaders;Alien Invaders;Invasores estrangeiros;Èíîïëàíåòíûå Çàõâàò÷èêè;Alien Invaders;x
ALI_ADJ;Alien;Alien;Ausländer;obcy;extranjero;Aliena;idegen;cizinec;idegen;vreemdeling;alienígena;Èíîïëàíåòÿíèí;ulkomaalainen;x
ALI_anarcho_liberal;Grey Faction;Faction des Gris;Fraktion der Grauen;Gray Faction;Grey Faction;Fazione Grigia;Szürke frakció;Šedá frakce;Szürke frakció;Gray Faction;Faction Gris;Ñåğàÿ Ôğàêöèÿ;Harmaa Faction;x
ALI_communist;Exploit Faction;Faction de l'Exploit;Fraktion der Ausbeutung;Frakcja Exploit;Facción de la explotación;Fazione Sfruttamento;Az Exploit frakciója;Frakce vıvoje;Az Exploit frakciója;Faction of the Exploit;Faction of the Exploit;Èñïîëüçîâàòü Ôğàêöèş;Exploitin fraktio;x
ALI_conservative;Green Faction;Faction des Verts;Fraktion der Grünen;Frakcja Zielonych;Facción de los Verdes;Fazione Verde;A Zöldek frakciója;Frakce zelenıch;A Zöldek frakciója;Faction of the Greens;Faction of the Greens;Çåëåíàÿ Ôğàêöèÿ;Vihreiden fraktio;x
ALI_fascist;Synthetic Faction;Faction des Synthétiques;Fraktion der Syntheten;Frakcja Syntetycznych;Facción de los Sintéticos;Fazione Sintetica;A Szintetikus frakciója;Frakci syntetiky;A Szintetikus frakciója;Faction of the Synthetics;Faction of the Synthetics;Ôğàêöèÿ ×åğíîé Äûğû;Synteettisistä fraktio;x
ALI_liberal;Yun Key Faction;Faction de Jean Qui;Fraktion von Jan Kih;Frakcja Yan Key;Facción de Yan Key;Fazione Gian Chi;Yan kulcs frakciója;Frakce Yan Key;Yan kulcs frakciója;Faction of Yan Key;Faction of Yan Key;Ôğàêöèÿ ßí Êû;Yan-avaimen fraktio;x
ALI_reactionary;Xenu Faction;Faction de Xénou;Fraktion von Xenu;Frakcja Xenu;Facción de Xenu;Fazione Xenu;Xenu frakciója;Xenuova frakce;Xenu frakciója;Xenu's Faction;A facção de Xenu;Ôğàêöèÿ Êñåíó;Xenan fraktio;x
ALI_socialist;Nordic Faction;Faction des Nordiques;Fraktion der Nördlichen;Frakcja Nordiques;Facción de los Nordiques;Fazione Nordica;A Nordiques frakciója;Frakce Nordiques;A Nordiques frakciója;Faction of the Nordiques;Faction of the Nordiques;Ñêàíäèíàâñêàÿ Ôğàêöèÿ;Nordiquesin fraktio;x
ALN;Alania;Alanie;Alanien;Alania;Alania;Alania;Alania;Alania;Alania;Alania;Alania;Àëàíèÿ;Alania;x
ALN_ADJ;Alan;Alain;Alanisch;Alan;Alan;Alana;Alan;Alan;Alan;Alan;Alan;Àëàí;Alan;x
ALO;Alodia;Alodie;Alodien;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Alodia;Àëîäèÿ;Alwa tilan;x
ALO_ADJ;Alodian;Alodien;Alodisch;Alodian;Alodiano;Alodiana;Alodian;Alodian;Alodian;Alodian;Alodiano;Àëîäèÿí;Alodian;x
ALS;Alsace;Alsace;Elsass;Alzacja;Alsacia;Alsazia;Elzász;Alsace;Elzász;Elzas;Alsácia;İëüçàñ;Elsass;x
ALS_ADJ;Alsatian;Alsacien;Elsässisch;Alzacjan;alsaciano;Alsaziana;elzászi;vlcák;elzászi;Elzasser;Alsaciano;İëüçàññê.;saksanpaimenkoira;x
ALT;Altai;Altaï;Altai;A³taj;Altai;Altaj;Altai;Altai;Altai;Altai;Altai;Àëòàé;Altai;x
ALT_ADJ;Altai;Altaïen;Altaisch;A³taj;Altai;Altaica;Altai;Altai;Altai;Altai;Altai;Àëòàé;altai;x
