KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
EVTNAMEFAKE;Identity crisis;Crise d'identité;Identitätskrise;Kryzys osobowoœci;Crisis de identidad;Crisi d'identità;Személyiségi válság;Krize identity;Személyiségi válság;Identiteitscrisis;Crise de identidade;Êğèçèñ ëè÷íîñòè;Identiteettikriisi;x
EVTDESCFAKE;My $MONARCHTITLE$, how come we claim to be the owners of $COUNTRY$ and yet we live in $CAPITAL$?;Mon $MONARCHTITL $, comment se fait-il que nous prétendions être les seigneurs de $COUNTRY$ et que nous vivions à $CAPITAL$?;Mein $MONARCHTITLE$, warum behaupten wir, Besitzer von $COUNTRY$ zu sein und wohnen dennoch in $CAPITAL$?;Mój $MONARCHTITLE$, dlaczego twierdzimy, ¿e jesteœmy w³aœcicielami $COUNTRY$, a mimo to ¿yjemy w $CAPITAL$?;Mi $MONARCHTITLE$, ¿por qué decimos ser dueños de $COUNTRY$ y aún así vivimos en $CAPITAL$?;Mio $MONARCHTITLE$, come mai diciamo di essere i signori di $COUNTRY$ e viviamo a $CAPITAL$?;Saját $MONARCHTITLE$, miért állíthatjuk, hogy a (z) $COUNTRY$ tulajdonosok, és mégis $CAPITAL$-on élünk?;Mùj $MONARCHTITLE$, jak to, e tvrdíme, e jsme vlastníci $COUNTRY$, a pøesto ijeme v $CAPITAL$?;Saját $MONARCHTITLE$, miért állíthatjuk, hogy a (z) $COUNTRY$ tulajdonosok, és mégis $CAPITAL$-on élünk?;Mijn $MONARCHTITLE$, hoe komt het dat we beweren de eigenaren te zijn van $COUNTRY$ en toch leven we in $CAPITAL$?;Meu $MONARCHTITLE$, como alegamos ser os proprietários de $COUNTRY$ e ainda assim moramos em $CAPITAL$?;Ìîé $MONARCHTITLE$, ïî÷åìó ìû çàÿâëÿåì, ÷òî ÿâëÿåìñÿ âëàäåëüöàìè $COUNTRY$, è âñå æå ìû æèâåì â $CAPITAL$?;Minun $MONARCHTITLE$, miksi me väitämme olevan $COUNTRY$ omistajia ja elämme silti $CAPITAL$?;x
EVTNAMENAMEFAKE;Identity crisis: The Solution;Crise d'identité: la solution;Identitätskrise: Die Lösung;Kryzys to¿samoœci: rozwi¹zanie;Crisis de identidad: la solución;Crisi d'identità: la soluzione;Személyiségi válság: A megoldás;Krize identity: Øešení;Személyiségi válság: A megoldás;Identiteitscrisis: de oplossing;Crise de identidade: a solução;Êğèçèñ èäåíòè÷íîñòè: ğåøåíèå;Henkilöllisyyskriisi: Ratkaisu;x
EVTDESCNAMEFAKE;My $MONARCHTITLE$, we finally found out you can fix your position internationally.;Mon $MONARCHTITLE$, nous avons enfin découvert que vous pouvez fixer votre position à l'international.;Mein $MONARCHTITLE$, wir haben endlich herausgefunden, wie Sie Ihre Position international festlegen können.;Mój $MONARCHTITLE$, w koñcu dowiedzieliœmy siê, ¿e mo¿esz ustaliæ swoj¹ pozycjê na arenie miêdzynarodowej.;Mi $MONARCHTITLE$, finalmente descubrimos que puede arreglar Su posición internacionalmente.;Mio $MONARCHTITLE$, abbiamo finalmente scoperto come può sistemare la Sua posizione a livello internazionale.;Saját $MONARCHTITLE$, végül rájöttünk, hogy rögzítheti pozícióját nemzetközi szinten.;Mùj $MONARCHTITLE$, koneènì jsme zjistili, e svou pozici mùete na mezinárodní úrovni opravit.;Saját $MONARCHTITLE$, végül rájöttünk, hogy rögzítheti pozícióját nemzetközi szinten.;Mijn $MONARCHTITLE$, we zijn er eindelijk achter gekomen dat je je positie internationaal kunt verbeteren.;Meu $MONARCHTITLE$, finalmente descobrimos que você pode corrigir sua posição internacionalmente.;Ìîé $MONARCHTITLE$, ìû íàêîíåö-òî óçíàëè, ÷òî âû ìîæåòå èñïğàâèòü ñâîş ïîçèöèş íà ìåæäóíàğîäíîì óğîâíå.;Minun $MONARCHTITLE$, huomasimme lopulta, että voit korjata asemasi kansainvälisesti.;x
EVTOPTANAMEFAKE;I shall be the $MONARCHTITLE$ of $CAPITAL$;Je serai le $MONARCHTITLE$ de $CAPITAL$;Ich werde der $MONARCHTITLE$ von $CAPITAL$ sein;Bêdê $MONARCHTITLE$ z $CAPITAL$;Seré el $MONARCHTITLE$ de  $CAPITAL$;Sarò $MONARCHTITLE$ di $CAPITAL$;Én vagyok a $CAPITAL$ $MONARCHTITLE$;Budu $MONARCHTITLE$ z $CAPITAL$;Én vagyok a $CAPITAL$ $MONARCHTITLE$;Ik zal de $MONARCHTITLE$ van $CAPITAL$ zijn;Serei o $MONARCHTITLE$ de $CAPITAL$;ß áóäó $MONARCHTITLE$ $CAPITAL$;Minusta tulee $MONARCHTITLE$ $CAPITAL$;x
SYR_reactionary;Ba'ath Party;Parti Baas;Ba'ath Partei;Partia Baas;Partido Baath;Partito Ba'ath;Ba'ath párt;Ba'ath Party;Ba'ath párt;Ba'ath-Partij;Partido Ba'ath;Áààñ âå÷åğèíêà;Ba'ath-puolue;x
SYR_liberal;Reform Party;Parti réformiste;Reformpartei;Partia Reform;Partido de las reformas;Partito riformista;Reformpárt;Reformní strana;Reformpárt;Hervormingspartij;Partido da Reforma;Ïàğòèÿ ğåôîğì;Uudistuspuolue;x
SYR_conservative;Muslim Brotherhood;Fraternité Musulmane;Muslimbruderschaft;Bractwo Muzu³mañskie;Hermandad Musulmana;Fratellanza Mussulmana;muszlim Testvériség;muslimské bratrství;muszlim Testvériség;moslims Broederschap;Irmandade muçulmana;ìóñóëüìàíñêîå áğàòñòâî;muslimi veljeys;x
SYR_anarcho_liberal;Arabic Democratic Union;Union démocratique arabe;Arabische Demokratische Union;Arabska Unia Demokratyczna;Unión Democrática Árabe;Unione Democratica Araba;Arab Demokratikus Unió;Arabská demokratická unie;Arab Demokratikus Unió;Arabische Democratische Unie;União Democrática Árabe;Àğàáñêèé Äåìîêğàòè÷åñêèé Ñîşç;Arabian demokraattinen unioni;x
SYR_socialist;Arab Workers Party;Parti des travailleurs arabes;Arabische Arbeiterpartei;Arabska Partia Robotnicza;Partido de los trabajadores árabes;Partito dei lavoratori arabi;Arab Munkavállalók Pártja;Arabská dìlnická strana;Arab Munkavállalók Pártja;Arabische Arbeiderspartij;Partido dos Trabalhadores Árabes;Àğàáñêàÿ ğàáî÷àÿ ïàğòèÿ;Arabityöläisten puolue;x
