KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
THERAJTITLE;On India;Sur l'Inde;Über Indien;W Indiach;En la India;Sull'India;Indiában;V Indii;Indiában;Over India;Na Índia;Ïî èíäèè;Intiassa;x
THERAJDESC;It's been a long time since the Indian subcontinent succumbed to foreign rulers. It is time for it to be reorganized accordingly.;Cela fait longtemps que le sous-continent indien n'a pas succombé aux dirigeants étrangers. Il est temps de le réorganiser en conséquence.;Es ist lange her, dass der indische Subkontinent ausländischen Herrschern erlag. Es ist Zeit, dass es entsprechend neu organisiert wird.;Minê³o du¿o czasu, odk¹d subkontynent indyjski uleg³ zagranicznym w³adcom. Czas odpowiednio go zreorganizowaæ.;Ha pasado mucho tiempo desde que el subcontinente indio sucumbió ante los gobernantes extranjeros. Es hora de que se reorganice en consecuencia.;È passato molto tempo da quando il subcontinente indiano ha ceduto ai sovrani stranieri. È tempo di riorganizzarsi di conseguenza.;Régóta telt el, hogy az indiai szubkontinens megbukott a külföldi uralkodók elõtt. Ideje ennek megfelelõ átszervezés.;Je to u dlouho, co indickı subkontinent podlehl cizím vládcùm. Je na èase, aby byla odpovídajícím zpùsobem reorganizována.;Régóta telt el, hogy az indiai szubkontinens megbukott a külföldi uralkodók elõtt. Ideje ennek megfelelõ átszervezés.;Het is lang geleden dat het Indiase subcontinent is bezweken voor buitenlandse heersers. Het wordt tijd dat het dienovereenkomstig wordt gereorganiseerd.;Faz muito tempo que o subcontinente indiano sucumbiu a governantes estrangeiros. É hora de ser reorganizado de acordo.;Ïğîøëî ìíîãî âğåìåíè ñ òåõ ïîğ, êàê èíäèéñêèé ñóáêîíòèíåíò ïîääàëñÿ èíîñòğàííûì ïğàâèòåëÿì. Íàñòàëî âğåìÿ äëÿ åãî ñîîòâåòñòâóşùåé ğåîğãàíèçàöèè.;On kulunut kauan sitten, kun Intian subkontinenssi on alistunut ulkomaisille hallitsijoille. On aika järjestää se uudelleen.;x
THERAJOPTA;Ok.;D'accord.;Ok.;Ok.;Okay.;Ok.;Rendben.;OK.;Rendben.;OK.;Está bem.;Õîğîøî.;Ok.;x
INTRAJTITLE;The State of $COUNTRY$;L'état du $COUNTRY$;Der Staat $COUNTRY$;Stan $COUNTRY$;El estado de $COUNTRY$;Lo stato del $COUNTRY$;$COUNTRY$ állam;Stav $COUNTRY$;$COUNTRY$ állam;De staat van $COUNTRY$;O estado do $COUNTRY$;Ñîñòîÿíèå $COUNTRY$;$COUNTRY$ osavaltio;x
INTRAJDESC;The $COUNTRY_ADJ$ Raja could no longer feel entitled to international recognition and decided henceforth to submit himself totally to the foreign overlord.;Le Radja $COUNTRY_ADJ$ ne pouvait plus se sentir admissible à la reconnaissance internationale et décida désormais de se soumettre totalement au suzerain étranger.;Der $COUNTRY_ADJ$er Raja konnte sich nicht mehr zur internationalen Anerkennung berechtigt fühlen und beschloss fortan, sich vollständig dem ausländischen Oberherrn zu unterwerfen.;$COUNTRY_ADJ$ Raja nie móg³ ju¿ czuæ siê uprawniony do miêdzynarodowego uznania i odt¹d postanowi³ poddaæ siê ca³kowicie zagranicznemu zwierzchnikowi.;El $COUNTRY_ADJ$ Raja ya no podía sentirse con derecho al reconocimiento internacional y decidió en adelante someterse totalmente al señor extranjero.;Il Rajà $COUNTRY_ADJ$ non poteva più sentirsi autorizzato al riconoscimento internazionale e decise d'ora in poi di sottomettersi totalmente al sovrano straniero.;A $COUNTRY_ADJ$ Raja már nem érezte magát a nemzetközi elismerés jogosultságának, és ezentúl úgy döntött, hogy teljes mértékben alárendelte magát a külföldi uralkodónak.;$COUNTRY_ADJ$ Raja se u nemohl cítit nárok na mezinárodní uznání a od té doby se rozhodl zcela podøídit zahraniènímu vládci.;A $COUNTRY_ADJ$ Raja már nem érezte magát a nemzetközi elismerés jogosultságának, és ezentúl úgy döntött, hogy teljes mértékben alárendelte magát a külföldi uralkodónak.;De $COUNTRY_ADJ$ Raja voelde zich niet langer gerechtigd tot internationale erkenning en besloot zich voortaan volledig te onderwerpen aan de buitenlandse overheerser.;O $COUNTRY_ADJ$ Raja não podia mais se sentir com direito ao reconhecimento internacional e decidiu a partir de agora submeter-se totalmente ao senhor estrangeiro.;Ğàäæà $COUNTRY_ADJ$ áîëüøå íå ìîã ÷óâñòâîâàòü ñåáÿ èìåşùèì ïğàâî íà ìåæäóíàğîäíîå ïğèçíàíèå è îòíûíå ğåøèë ïîëíîñòüş ïîä÷èíèòüñÿ èíîñòğàííîìó ïîâåëèòåëş.;$COUNTRY_ADJ$ Raja ei voinut enää tuntea olevansa oikeutettua kansainväliseen tunnustamiseen ja päätti tästä lähtien alistua täysin ulkomaiselle ylimmälle.;x
INTRAJOPTA;Ok.;D'accord.;Ok.;Ok.;Okay.;Ok.;Rendben.;OK.;Rendben.;OK.;Está bem.;Õîğîøî.;Ok.;x
IAMRAJTITLE;Shenanigans;Shenanigans;Shenanigans;Kombinowanie;Engaños;Cavolate;mókák;Shenanigans;mókák;Geintjes;Travessuras;ïğîäåëêè;Metkut;x
IAMRAJDESC;The Raj… what a barbarian name;Le Raj… quel nom barbare;Der Raj ... was für ein barbarischer Name;Raj… có¿ za barbarzyñskie imiê;El Raj ... qué nombre bárbaro;Il Raj ... che nome barbaro;A Raj ... milyen barbár név;Raj ... jak se jmenuje barbar;A Raj ... milyen barbár név;The Raj ... wat een barbaarse naam;O Raj ... que nome bárbaro;Ğàäæ ... êàêîå âàğâàğñêîå èìÿ;Raj ... mikä barbaarilainen nimi;x
IAMRAJOPTA;Perhaps India it's better?;Peut-être que «Inde» est meilleure?;Vielleicht ist es Indien besser?;Mo¿e Indie s¹ lepsze?;Quizás India es mejor?;Forse ndia è meglio?;Talán India jobb?;Moná je Indie lepší?;Talán India jobb?;Misschien is India beter?;Talvez a Índia esteja melhor?;Ìîæåò áûòü, â Èíäèè ıòî ëó÷øå?;Ehkä Intiassa on parempi?;x
ITSRAJTITLE;The $COUNTRY_ADJ$ Raj;Le Raj $COUNTRY_ADJ$;Der $COUNTRY_ADJ$e Raj;$COUNTRY_ADJ$ Raj;El Raj $COUNTRY_ADJ$;Il Raj $COUNTRY_ADJ$;A (z) $COUNTRY_ADJ$ Raj;$COUNTRY_ADJ$ Raj;A (z) $COUNTRY_ADJ$ Raj;De $COUNTRY_ADJ$ Raj;O $COUNTRY_ADJ$ Raj;$COUNTRY_ADJ$ Ğàäæ;$COUNTRY_ADJ$ Raj;x
ITSRAJDESC;The $COUNTRY_ADJ$ army controls a good deal of the Indian peninsula. Why not giving them a bit more of autonomy so that we can focus on other things?;L'armée $COUNTRY_ADJ$ contrôle une bonne partie de la péninsule indienne. Pourquoi ne pas leur donner un peu plus d'autonomie pour qu'on puisse se concentrer sur autre chose?;Die $COUNTRY_ADJ$e Armee kontrolliert einen Großteil der indischen Halbinsel. Warum geben wir ihnen nicht ein bisschen mehr Autonomie, damit wir uns auf andere Dinge konzentrieren können?;Armia $COUNTRY_ADJ$ kontroluje znaczn¹ czêœæ pó³wyspu indyjskiego. Dlaczego nie daæ im trochê wiêcej autonomii, abyœmy mogli skupiæ siê na innych rzeczach?;El ejército $COUNTRY_ADJ$ controla buena parte de la península india. ¿Por qué no darles un poco más de autonomía para que podamos centrarnos en otras cosas?;L'esercito $COUNTRY_ADJ$ controlla buona parte della penisola indiana. Perché non dare loro un po 'più di autonomia in modo che possiamo concentrarci su altre cose?;A $COUNTRY_ADJ$ hadsereg jelentõs részét irányítja az indiai-félszigetben. Miért nem adnánk nekik egy kicsit több autonómiát, hogy más dolgokra összpontosítsunk?;Armáda $COUNTRY_ADJ$ ovládá hodnì indického poloostrova. Proè jim nedat trochu vìtší autonomie, abychom se mohli soustøedit na jiné vìci?;A $COUNTRY_ADJ$ hadsereg jelentõs részét irányítja az indiai-félszigetben. Miért nem adnánk nekik egy kicsit több autonómiát, hogy más dolgokra összpontosítsunk?;Het $COUNTRY_ADJ$ leger heeft een groot deel van het Indiase schiereiland in handen. Waarom zouden we ze niet wat meer autonomie geven zodat we ons op andere dingen kunnen concentreren?;O exército $COUNTRY_ADJ$ controla boa parte da península indiana. Por que não lhes dar um pouco mais de autonomia para que possamos nos concentrar em outras coisas?;Àğìèÿ $COUNTRY_ADJ$ êîíòğîëèğóåò çíà÷èòåëüíóş ÷àñòü Èíäèéñêîãî ïîëóîñòğîâà. Ïî÷åìó áû íå äàòü èì íåìíîãî áîëüøå àâòîíîìèè, ÷òîáû ìû ìîãëè ñîñğåäîòî÷èòüñÿ íà äğóãèõ âåùàõ?;$COUNTRY_ADJ$-armeija hallitsee suurta osaa Intian niemimaalta. Miksi et antaisi heille hieman enemmän autonomiaa, jotta voimme keskittyä muihin asioihin?;x
ITSRAJOPTA;Ok.;D'accord.;Ok.;Ok.;Okay.;Ok.;Rendben.;OK.;Rendben.;OK.;Está bem.;Õîğîøî.;Ok.;x
RJX;Raj;Raj;Raj;Raj;Raj;Raj;Raj;Raj;Raj;Raj;Raj;Ğàäæ;Raj;x
RJX_ADJ;Indian;Indienne;indisch;Indianin;India;indiano;indián;indickı;indián;Indisch;indiano;èíäèéñêèé;intialainen;x
EVTNAME5000100;The Oder-Neiße Line;La ligne Oder-Neiße;Die Oder-Neiße-Linie;Linia Oder-Neiße;La línea Oder-Neiße;La linea Oder-Neiße;Az Oder-Neiße vonal;Linka Oder-Neiße;Az Oder-Neiße vonal;De Oder-Neiße-lijn;A linha Oder-Neiße;Ëèíèÿ Îäåğ-Íåéñå;Oder-Neiße-linja;x
